addressnbr,addressline1,city,state,zip,streetaddress,tradename,owner,phone,county,shortname,oldlat,oldlng,lat,lng
1403,S AUSTIN AVENUE,DENISON,TX,75020,1403 S AUSTIN AVENUE,1 STOP DISCOUNT LIQUOR,R&Z INCORPORATED,(903) 464-9026,Grayson,,33.74199433,-96.53760621,33.7417,-96.5379
8433,FM 1464 ROAD SUITE R,RICHMOND,TX,77407,8433 FM 1464 ROAD SUITE R,1464 LIQUOR,ROMERO BROS. INC.,,Fort Bend,,29.6892065,-95.6870209,29.6886,-95.6871
210,S PARK,BRENHAM,TX,77833,210 S PARK,1844 FINE LIQUORS,1844 LIQUOR STORE LLC.,520-591-5207,Washington,,30.2106779,-96.40705507,30.1663,-96.398
203,S 25 MILE AVENUE 'A',HEREFORD,TX,790456050,203 S 25 MILE AVENUE 'A',19TH HOLE PACKAGE,19TH HOLE PACKAGE LLC,(806) 364-3515,Deaf Smith,,34.8130054,-102.4058491,34.8121,-102.406
7753,19TH STREET,LUBBOCK,TX,79407,7753 19TH STREET,19TH ST LIQUOR BEER WINE,SAVI LLC,806-687-2639,Lubbock,,33.57764884,-101.9898525,33.5773,-101.991
7975,W GRAND PARKWAY SOUTH,RICHMOND,TX,77469,7975 W GRAND PARKWAY SOUTH,1ST CHOICE FINE WINE & SPIRITS,SHIVAY INVESTMENTS INC.,832-463-8787,Fort Bend,,29.48004046,-95.68311506,29.6627,-95.7399
1800,FM 359 SUITE 190,RICHMOND,TX,77406,1800 FM 359 SUITE 190,1ST CHOICE LIQUOR OF RICHMOND,"HERNANDEZ, JIMMY LEON (ET AL)",,Fort Bend,,29.6187533,-95.7427598,29.6187,-95.7428
4775,SWEETWATER BOULEVARD,SUGAR LAND,TX,77479,4775 SWEETWATER BOULEVARD,1ST COLONY LIQUOR,K&T LIQUOR LLC,,Fort Bend,,29.58555199,-95.63168553,29.5849,-95.6328
609,W HOUSTON STREET,LINDEN,TX,75563,609 W HOUSTON STREET,1ST STOP WINE & SPIRITS,LONE STAR IMPROVEMENT COMPANY,903-897-5636,Cass,,33.01155172,-94.37086059,33.0113,-94.3707
1900,SE 27TH AVENUE,AMARILLO,TX,79103,1900 SE 27TH AVENUE,27TH DISCOUNT LIQUOR,"VO, XUAN TRANG THI",806-372-6792,Potter,,35.1849084,-101.8168552,35.1848,-101.817
6302,HWY 6 SUITE B,MISSOURI CITY,TX,77459,6302 HWY 6 SUITE B,281 LIQUOR,YUKI LIQUOR INC.,281-969-8502,Fort Bend,,29.56372888,-95.56286129,29.5621,-95.5628
27102,FM 2978,MAGNOLIA,TX,77354,27102 FM 2978,2978 DRIVE THRU LIQUOR STORE,2978 DRIVE THRU LIQUOR STORE LLC,832-521-5359,Montgomery,,30.15520322,-95.59793092,30.1528,-95.5973
1990,E GARRISON STREET,EAGLE PASS,TX,78852,1990 E GARRISON STREET,2B LIQUOR STORE,"BERAIN, JESUS GUILLERMO",830-773-1509,Maverick,,28.70603229,-100.4877195,28.7058,-100.488
4601,SW PARKWAY SUITE 100,AUSTIN,TX,78735,4601 SW PARKWAY SUITE 100,34 WINE & SPIRITS,SCRIAA LLC,512-788-4643,Travis,,30.26591098,-97.8665976,30.2395,-97.8318
5200,HWY 349 SOUTH,MIDLAND,TX,79706,5200 HWY 349 SOUTH,349 LIQUOR STORE,RICATER CORPORATION,432-262-0977,Midland,,31.9322836,-102.0617457,31.9323,-102.062
2301,34TH STREET,LUBBOCK,TX,79411,2301 34TH STREET,34TH ST LIQUOR BEER AND WINE,KRISHNA KRUPA LLC,806-368-0844,Lubbock,,33.56318884,-101.8661337,33.563,-101.866
2045,HWY 360N SUITE 150B,GRAND PRAIRIE,TX,75050,2045 HWY 360N SUITE 150B,360 LIQUORS,MK CSTORE INC.,352-397-7573,Tarrant,,32.77409297,-97.00535385,32.7831,-97.0617
1832,N 7TH AVE SUITE 4,CRYSTAL CITY,TX,78839,1832 N 7TH AVE SUITE 4,4 U LIQUORS,"URRABAZO, ZACHARY RAZI",830-694-9764,Zavala,,28.69877022,-99.82803146,28.6988,-99.828
131,HWY 12 EAST,ORANGE,TX,77632,131 HWY 12 EAST,4-WAY LIQUOR,WESTWOOD ENTERPRISES LLC,409-886-5516,Orange,,30.2032799,-93.80514565,30.2751,-93.7826
8310,LONG POINT ROAD,HOUSTON,TX,77055,8310 LONG POINT ROAD,5 STAR LIQUOR,VIVIAN GROUP INC.,281-858-8966,Harris,,29.80309285,-95.4939286,29.8036,-95.4941
11450,IH 20 EAST,TERRELL,TX,75161,11450 IH 20 EAST,509 LIQUORS,A J B PETRO LLC,,Kaufman,,32.73742208,-96.17112426,32.6685,-96.1501
1907,S CESAR CHAVEZ BOULEVARD,DALLAS,TX,75215,1907 S CESAR CHAVEZ BOULEVARD,509 STOP N SAVE LIQUORS,A J B PETRO LLC,214-428-7500,Dallas,,32.75071562,-96.75800513,32.7729,-96.7832
2020,50TH STREET,LUBBOCK,TX,79412,2020 50TH STREET,50TH ST LIQUOR,CHANTAP MANAGEMENT CO. INC.,806-701-5452,Lubbock,,33.54882278,-101.860041,33.5491,-101.862
