addressnbr,addressline1,city,state,zip,streetaddress,lat,lng,tradename,owner,phone,county
1403,S AUSTIN AVENUE,DENISON,TX,75020,1403 S AUSTIN AVENUE,33.74199433,-96.53760621,1 STOP DISCOUNT LIQUOR,R&Z INCORPORATED,(903) 464-9026,Grayson
8433,FM 1464 ROAD SUITE R,RICHMOND,TX,77407,8433 FM 1464 ROAD SUITE R,29.6892065,-95.6870209,1464 LIQUOR,ROMERO BROS. INC.,,Fort Bend
210,S PARK,BRENHAM,TX,77833,210 S PARK,30.2106779,-96.40705507,1844 FINE LIQUORS,1844 LIQUOR STORE LLC.,520-591-5207,Washington
203,S 25 MILE AVENUE 'A',HEREFORD,TX,790456050,203 S 25 MILE AVENUE 'A',34.8130054,-102.4058491,19TH HOLE PACKAGE,19TH HOLE PACKAGE LLC,(806) 364-3515,Deaf Smith
7753,19TH STREET,LUBBOCK,TX,79407,7753 19TH STREET,33.57764884,-101.9898525,19TH ST LIQUOR BEER WINE,SAVI LLC,806-687-2639,Lubbock
7975,W GRAND PARKWAY SOUTH,RICHMOND,TX,77469,7975 W GRAND PARKWAY SOUTH,29.48004046,-95.68311506,1ST CHOICE FINE WINE & SPIRITS,SHIVAY INVESTMENTS INC.,832-463-8787,Fort Bend
1800,FM 359 SUITE 190,RICHMOND,TX,77406,1800 FM 359 SUITE 190,29.6187533,-95.7427598,1ST CHOICE LIQUOR OF RICHMOND,"HERNANDEZ, JIMMY LEON (ET AL)",,Fort Bend
4775,SWEETWATER BOULEVARD,SUGAR LAND,TX,77479,4775 SWEETWATER BOULEVARD,29.58555199,-95.63168553,1ST COLONY LIQUOR,K&T LIQUOR LLC,,Fort Bend
609,W HOUSTON STREET,LINDEN,TX,75563,609 W HOUSTON STREET,33.01155172,-94.37086059,1ST STOP WINE & SPIRITS,LONE STAR IMPROVEMENT COMPANY,903-897-5636,Cass
1900,SE 27TH AVENUE,AMARILLO,TX,79103,1900 SE 27TH AVENUE,35.1849084,-101.8168552,27TH DISCOUNT LIQUOR,"VO, XUAN TRANG THI",806-372-6792,Potter
6302,HWY 6 SUITE B,MISSOURI CITY,TX,77459,6302 HWY 6 SUITE B,29.56372888,-95.56286129,281 LIQUOR,YUKI LIQUOR INC.,281-969-8502,Fort Bend
27102,FM 2978,MAGNOLIA,TX,77354,27102 FM 2978,30.15520322,-95.59793092,2978 DRIVE THRU LIQUOR STORE,2978 DRIVE THRU LIQUOR STORE LLC,832-521-5359,Montgomery
1990,E GARRISON STREET,EAGLE PASS,TX,78852,1990 E GARRISON STREET,28.70603229,-100.4877195,2B LIQUOR STORE,"BERAIN, JESUS GUILLERMO",830-773-1509,Maverick
4601,SW PARKWAY SUITE 100,AUSTIN,TX,78735,4601 SW PARKWAY SUITE 100,30.26591098,-97.8665976,34 WINE & SPIRITS,SCRIAA LLC,512-788-4643,Travis
5200,HWY 349 SOUTH,MIDLAND,TX,79706,5200 HWY 349 SOUTH,31.9322836,-102.0617457,349 LIQUOR STORE,RICATER CORPORATION,432-262-0977,Midland
2301,34TH STREET,LUBBOCK,TX,79411,2301 34TH STREET,33.56318884,-101.8661337,34TH ST LIQUOR BEER AND WINE,KRISHNA KRUPA LLC,806-368-0844,Lubbock
2045,HWY 360N SUITE 150B,GRAND PRAIRIE,TX,75050,2045 HWY 360N SUITE 150B,32.77409297,-97.00535385,360 LIQUORS,MK CSTORE INC.,352-397-7573,Tarrant
1832,N 7TH AVE SUITE 4,CRYSTAL CITY,TX,78839,1832 N 7TH AVE SUITE 4,28.69877022,-99.82803146,4 U LIQUORS,"URRABAZO, ZACHARY RAZI",830-694-9764,Zavala
131,HWY 12 EAST,ORANGE,TX,77632,131 HWY 12 EAST,30.2032799,-93.80514565,4-WAY LIQUOR,WESTWOOD ENTERPRISES LLC,409-886-5516,Orange
8310,LONG POINT ROAD,HOUSTON,TX,77055,8310 LONG POINT ROAD,29.80309285,-95.4939286,5 STAR LIQUOR,VIVIAN GROUP INC.,281-858-8966,Harris
11450,IH 20 EAST,TERRELL,TX,75161,11450 IH 20 EAST,32.73742208,-96.17112426,509 LIQUORS,A J B PETRO LLC,,Kaufman
1907,S CESAR CHAVEZ BOULEVARD,DALLAS,TX,75215,1907 S CESAR CHAVEZ BOULEVARD,32.75071562,-96.75800513,509 STOP N SAVE LIQUORS,A J B PETRO LLC,214-428-7500,Dallas
2020,50TH STREET,LUBBOCK,TX,79412,2020 50TH STREET,33.54882278,-101.860041,50TH ST LIQUOR,CHANTAP MANAGEMENT CO. INC.,806-701-5452,Lubbock
8024,KITTY HAWK,CONVERSE,TX,78109-2424,8024 KITTY HAWK,29.53488879,-98.33164477,5TH AVE LIQUOR,2015 A & B LLC,210-265-1276,Bexar
1000,W NAVARRO AVENUE,DE LEON,TX,764441033,1000 W NAVARRO AVENUE,32.1199974,-98.5442983,6/16 LIQUOR,"MAZUREK, THOMAS CHARLES III",254-879-7642,Comanche
551,STEMMONS FREEWAY SUITE 300,SANGER,TX,76266,551 STEMMONS FREEWAY SUITE 300,33.36725857,-97.21408152,6S LIQUOR,GANGA-OM LLC,701-306-8712,Denton 
2003,HWY 114E SUITE 425,TROPHY CLUB,TX,76262,2003 HWY 114E SUITE 425,33.00947183,-97.22579693,6S SPIRITS,6S RANCH LLC,,Denton 
1206,S FRAZIER STREET SUITE A,CONROE,TX,77301,1206 S FRAZIER STREET SUITE A,30.32062031,-95.46366575,7 LIQUOR,T J MADISYN L.L.C.,,Montgomery
942,FM 1960,HOUSTON,TX,77073,942 FM 1960,29.99988088,-95.39954308,713 LIQUOR,713 LIQUOR LLC,,Harris
9124,W CAMP BOWIE BOULEVARD,FORT WORTH,TX,76116,9124 W CAMP BOWIE BOULEVARD,32.72449506,-97.47616991,820 LIQUOR,BEHNIWAL LLC,817-372-6967,Tarrant
26835,CYPRESSWOOD DRIVE SUITE 10,SPRING,TX,77373,26835 CYPRESSWOOD DRIVE SUITE 10,30.0625823,-95.3933534,888 SPRING LIQUOR,GOLDEN 888 INC.,281-907-7200,Harris
10101,JACKSBORO HWY SUITE B,FORT WORTH,TX,76135,10101 JACKSBORO HWY SUITE B,32.83834748,-97.49365497,9  MILE LIQUOR,TOOR C-STORE LLC,817-238-1772,Tarrant
6929,AIRPORT BOULEVARD SUITE 108,AUSTIN,TX,78752,6929 AIRPORT BOULEVARD SUITE 108,30.3379509,-97.7173211,99 RANCH MARKET,TAWA INC. (RETAIL),,Travis
131,W SPRING CREEK PARKWAY UNIT A,PLANO,TX,75023-4619,131 W SPRING CREEK PARKWAY UNIT A,33.0592077,-96.6948334,99 RANCH MARKET,TAWA INC. (RETAIL),972-943-8999,Collin
1005,BLALOCK ROAD UNIT E,HOUSTON,TX,77055-7441,1005 BLALOCK ROAD UNIT E,29.7858389,-95.5219938,99 RANCH MARKET,TAWA INC. (RETAIL),714-521-8899,Harris
4516,HWY 198,CANEY CITY,TX,75148,4516 HWY 198,32.12465223,-96.01214303,9NINE LIQUORS,SHAKTI SHIVA INVESTMENT INC.,903-489-1797,Henderson
105,SE 9TH AVENUE,PERRYTON,TX,79070,105 SE 9TH AVENUE,36.39130301,-100.8000555,9TH STREET LIQUOR,"WEARS, GARY WAYNE (ET AL)",806-648-3330,Ochiltree
911,W MAIN SUITE A,NACOGDOCHES,TX,75964,911 W MAIN SUITE A,31.60438,-94.6644559,A & B LIQUOR,A & B BEVERAGE INC.,(936) 564-1940,Nacogdoches
18514,KUYKENDAHL ROAD,SPRING,TX,77379,18514 KUYKENDAHL ROAD,30.03871032,-95.48724986,A & R LIQUOR,VALOR INVESTMENTS L.L.C.,281-355-5400,Harris
1148,OLD HWY 90 WEST,SAN ANTONIO,TX,782372437,1148 OLD HWY 90 WEST,29.4211167,-98.56932028,A & V LIQUOR,"PATEL, ARVINDBHAI UMEDBHAI",210 432-1885,Bexar
12657,BISSONNET STREET,HOUSTON,TX,77099,12657 BISSONNET STREET,29.67753096,-95.60120741,A & Y LIQUOR,ZCWTXPLUS CORPORATION,281-495-4772,Harris
1217,E FERGUSON,PHARR,TX,78577,1217 E FERGUSON,26.210206,-98.16531427,A 2 Z LIQUORS,A 2 Z LIQUORS LLC,(956) 783-3555,Hidalgo
121,S BROADWAY SUITE 3,ELSA,TX,78543,121 S BROADWAY SUITE 3,26.29158266,-97.99328852,A 2 Z LIQUORS LLC,A 2 Z LIQUORS LLC,956-783-3555,Hidalgo
602,MCNEIL RD SUITE 120,ROUND ROCK,TX,78681,602 MCNEIL RD SUITE 120,30.49977,-97.6862287,A N B LIQUOR,ANB ENTERPRISE 2019 LLC,,Williamson
5663,TREASCHWIG ROAD,SPRING,TX,77373,5663 TREASCHWIG ROAD,30.0444617,-95.34806192,A N LIQUOR,JHSY LLC,281 443-4608,Harris
2210,BROADWAY STREET,SAN ANTONIO,TX,78215,2210 BROADWAY STREET,29.4465556,-98.4750703,A PLUS S.P.R LIQUOR #3,K E LIQUOR INC.,210-467-5211,Bexar
15150,NACOGDOCHES ROAD SUITE 125,SAN ANTONIO,TX,78247,15150 NACOGDOCHES ROAD SUITE 125,29.5790997,-98.3694942,A PLUS S.P.R. LIQUOR,S.P.R. LIQUOR INC.,210-467-5211,Bexar
700,E MURCHISON AVENUE,ELDORADO,TX,76936,700 E MURCHISON AVENUE,30.85507471,-100.5915675,A'S BEVERAGE BARN,A'S BEVERAGE BARN LLC,325-260-8332,Schleicher
7211,FM 1960W BAY 150,HUMBLE,TX,77338,7211 FM 1960W BAY 150,30.00678893,-95.29019494,A-1 LIQUOR,"SHAKYA, SUSHILA",281-570-6993,Harris
2602,SAM HOUSTON AVENUE,HUNTSVILLE,TX,77340,2602 SAM HOUSTON AVENUE,30.70497505,-95.54350183,A-1 LIQUORS,"TEM, KHEMARA",936-291-3534,Walker
15007,LAWNDALE STREET,HOUSTON,TX,77017,15007 LAWNDALE STREET,29.7102219,-95.2272253,A-C CUT RATE,PNR INVESTMENTS INC.,(713) 520-1072,Harris
1701,FRONTAGE ROAD,VERNON,TX,76384,1701 FRONTAGE ROAD,34.16765935,-99.32556135,A-STAR LIQUOR BEER & WINE,"SOU, PHANY SANN",(940) 552-9533,Wilbarger
15011,LAWNDALE STREET,HOUSTON,TX,77017,15011 LAWNDALE STREET,29.7106902,-95.2267842,A.C. CUT RATE WHOLESALE LIQUOR,PNR INVESTMENTS INC.,713-472-1400,Harris
3225,W AVENUE,SAN ANTONIO,TX,78213,3225 W AVENUE,29.51700281,-98.52362247,AAA LIQUOR,"ASHTARANI, SHARAFEDIN",210-236-8973,Bexar
207,W 42ND STREET,ODESSA,TX,79764,207 W 42ND STREET,31.88193216,-102.3865161,AAA LIQUOR,DATAING LLC,432-276-5254,Ector
2402,SEAWALL BOULEVARD SUITE A,GALVESTON,TX,77550,2402 SEAWALL BOULEVARD SUITE A,29.28906256,-94.78957531,AAA LIQUOR,MN SEAWALL INVESTMENTS LLC,409-621-1062,Galveston
125,E MAIN STREET,ROYSE CITY,TX,75189,125 E MAIN STREET,32.97515337,-96.33215336,AB BEER & WINE,AAMAN126 INC.,972-635-9500,Rockwall
2036,HWY 183,LEANDER,TX,78641,2036 HWY 183,30.62612436,-97.8641118,AB LIQUOR,1350 WHITEWING INC.,512-758-9860,Williamson
5194,BUFFALO GAP ROAD 'C',ABILENE,TX,79606,5194 BUFFALO GAP ROAD 'C',32.3876469,-99.7661073,ABBY'S BOTTLES & BREW,ERVIN AND ERVIN LLC,325-691-5000,Taylor
3820,FM 3009 SUITE 116,SCHERTZ,TX,78154,3820 FM 3009 SUITE 116,29.5875467,-98.2678167,ABC LIQUOR,"HOANG, LE TOTRAN",(210) 566-3466,Guadalupe
2121,PARMER LANE SUITE 105,AUSTIN,TX,78727-4351,2121 PARMER LANE SUITE 105,30.415644,-97.6975618,ABC LIQUOR,KUNAL ENTERPRISES LLC,512-836-8790,Travis
2007,8TH AVENUE,FORT WORTH,TX,76110-1810,2007 8TH AVENUE,32.72223565,-97.34365232,ABC LIQUOR,DFW ABC LIQUOR INC.,(817) 926-5706,Tarrant
3421,N LAKELINE BOULEVARD SUITE 270,LEANDER,TX,78641,3421 N LAKELINE BOULEVARD SUITE 270,30.5429107,-97.8644442,ABC LIQUOR,JIV ENTERPRISES LLC,512-906-6866,Williamson
8710,GRAND MISSION BOULEVARD,RICHMOND,TX,77407,8710 GRAND MISSION BOULEVARD,29.6765503,-95.71251783,ACE 1 LIQUOR,RICHMOND BEVERAGES LLC,832-579-7549,Fort Bend
11056,AIRLINE,HOUSTON,TX,77037,11056 AIRLINE,29.9168372,-95.40553947,ACE LIQUOR,SAI RAM ENTERPRISES INC.,,Harris
5010,W MAIN ST SUITE H,LEAGUE CITY,TX,77573,5010 W MAIN ST SUITE H,29.4901185,-95.1545858,ACE LIQUOR,BAY AREA LIQUORS INC.,(281) 316-2661,Galveston
6400,S 1ST STREET 'E',AUSTIN,TX,78745,6400 S 1ST STREET 'E',30.2003028,-97.7861265,ACE LIQUOR STORE,"UWAKWEH, BONNY CHIMEH",512-761-3737,Travis
911,CRABB RIVER ROAD,RICHMOND,TX,77469,911 CRABB RIVER ROAD,29.54700846,-95.69794116,ADAM'S SPIRITS,AICIS NATIONAL INC.,281-232-4800,Fort Bend
10055,ALMEDA GENOA ROAD 'F',HOUSTON,TX,77075,10055 ALMEDA GENOA ROAD 'F',29.62762848,-95.23965715,ADDIS LIQUOR,ADDIS LIQUOR LLC,(713) 944-1515,Harris
4401,E ROSEDALE STREET,FORT WORTH,TX,76105-1829,4401 E ROSEDALE STREET,32.73161257,-97.25808668,ADDOX CUT RATE LIQUOR,ADDOX CUT RATE LIQUOR INC.,817-494-4317,Tarrant
3446,HWY 83W SUITE A,RIO GRANDE CITY,TX,78582,3446 HWY 83W SUITE A,26.55551187,-98.73563325,AGAVE LIQUOR STORE,"HINOJOSA, ALEJANDRO",(956) 487-0270,Starr
10508,AIRLINE DRIVE 'B',HOUSTON,TX,77037,10508 AIRLINE DRIVE 'B',29.90768417,-95.40222146,AIRLINE LIQUOR STORE,"TRAN, TUAN DINH",281-999-4466,Harris
1725,E ELDORADO PARKWAY SUITE 100,LITTLE ELM,TX,75068,1725 E ELDORADO PARKWAY SUITE 100,33.16872403,-96.91048241,AJ SPIRITS WINE & GIFTS,DSJ ENTERPRISE INC,314-971-3080,Denton 
810,W MAIN STREET,FREDERICKSBURG,TX,78624,810 W MAIN STREET,30.28378428,-98.88419107,AJ'S LIQUOR,JABBY L.L.C.,830-992-3040,Gillespie
1109,W DUVAL,TROUP,TX,75789,1109 W DUVAL,32.14501103,-95.1319432,AJ'S PLACE,"JOHNSON, DELL ALBERT",903 842 0207,Smith
200,HWY 287 NORTH SUITE B,DECATUR,TX,76234,200 HWY 287 NORTH SUITE B,33.23539281,-97.59677315,AL'S DISCOUNT LIQUOR,ALWANI INVESTMENT INC,,Wise
8401,WETHEIMER SUITE 105,HOUSTON,TX,77063,8401 WETHEIMER SUITE 105,29.73545245,-95.52162622,AL'S LIQUOR,"NGUYEN, YEN HOANG",346-571-2968,Harris
2943,THOUSAND OAKS SUITE 3,SAN ANTONIO,TX,78247,2943 THOUSAND OAKS SUITE 3,29.5781909,-98.4391,ALAMO CITY LIQUOR,ALAMO CITY LIQUOR INC.,(210) 490-9883,Bexar
1311,N ALAMO,SAN ANTONIO,TX,78215,1311 N ALAMO,29.4368981,-98.4782468,ALAMO CITY LIQUOR,ALAMO CITY LIQUOR INC.,210-490-9883,Bexar
